snr_db,symbol_id,I_clean,Q_clean,rx_I,rx_Q,r,theta
0,0,-0.9486832980505138,-0.9486832980505138,1.1063685895858846,-1.1587926630408916,1.6021397853931663,-0.8085376712215006
0,0,-0.9486832980505138,-0.9486832980505138,-0.8283348216397057,-0.9726599341578984,1.2775781480038435,-2.2762290415665825
0,0,-0.9486832980505138,-0.9486832980505138,-1.2866568367225886,-0.6317007251672917,1.4333637436679707,-2.685200855448833
0,0,-0.9486832980505138,-0.9486832980505138,-0.8837808217246973,-1.580249721606585,1.8105959580994513,-2.080726128715617
0,0,-0.9486832980505138,-0.9486832980505138,-0.9372081518195106,-0.8607654029658693,1.2725078383962662,-2.3986849588916423
0,0,-0.9486832980505138,-0.9486832980505138,-0.2806308261355158,-0.950647797434338,0.9912037607597443,-1.857843264152153
0,0,-0.9486832980505138,-0.9486832980505138,-1.3687280242108248,-1.1931296508969025,1.8157573538635146,-2.4246308241830663
0,0,-0.9486832980505138,-0.9486832980505138,-1.7786857764960082,-1.139197996807196,2.1122251696821377,-2.5719448628313506
0,0,-0.9486832980505138,-0.9486832980505138,-1.0137482469954189,-1.4957754728877393,1.8069393386549604,-2.166426586861452
0,0,-0.9486832980505138,-0.9486832980505138,-0.8528468652067165,-0.2508651695151433,0.8889775637038231,-2.855511150038908
0,0,-0.9486832980505138,-0.9486832980505138,-0.9727089882359492,-1.9713706792292025,2.198286862700046,-2.0291641628809427
0,0,-0.9486832980505138,-0.9486832980505138,-1.8579396713904952,-1.175169307137517,2.198400037064386,-2.577609613755824
0,0,-0.9486832980505138,-0.9486832980505138,-0.2832730545029776,-0.0943255330706809,0.29856478291405203,-2.820156092675576
0,0,-0.9486832980505138,-0.9486832980505138,-0.8949137369427707,-1.4497693471030704,1.7037317149036515,-2.1238249674482597
0,0,-0.9486832980505138,-0.9486832980505138,-1.4789103891568236,-0.1443950528931546,1.4859427547708572,-3.0442650329284957
0,0,-0.9486832980505138,-0.9486832980505138,-1.4044594757542048,-0.3836437049345998,1.4559151456632773,-2.874936849464798
